filename,vulnerability,ground_truth,smartcheck_flagged,status,duration_s,exit_status
39817.sol,reentrancy,0,1,FP,1.63,OK
39867.sol,reentrancy,0,1,FP,1.64,OK
39912.sol,reentrancy,0,0,TN,1.38,OK
39934.sol,reentrancy,0,1,FP,1.61,OK
4.sol,reentrancy,0,0,TN,1.56,OK
40089.sol,reentrancy,0,1,FP,1.53,OK
40090.sol,reentrancy,0,0,TN,1.56,OK
40092.sol,reentrancy,0,1,FP,1.56,OK
40203.sol,reentrancy,0,0,TN,1.48,OK
40242.sol,reentrancy,0,1,FP,1.47,OK
40249.sol,reentrancy,0,1,FP,1.26,OK
40299.sol,reentrancy,0,1,FP,1.45,OK
40336.sol,reentrancy,0,1,FP,1.4,OK
40340.sol,reentrancy,0,1,FP,1.37,OK
40342.sol,reentrancy,0,1,FP,1.34,OK
40353.sol,reentrancy,0,1,FP,1.41,OK
40357.sol,reentrancy,0,1,FP,1.35,OK
40366.sol,reentrancy,0,0,TN,1.32,OK
40413.sol,reentrancy,0,1,FP,1.28,OK
40425.sol,reentrancy,0,1,FP,1.38,OK
40500.sol,reentrancy,0,1,FP,1.33,OK
40720.sol,reentrancy,0,0,TN,1.35,OK
40733.sol,reentrancy,0,1,FP,1.38,OK
40734.sol,reentrancy,0,1,FP,1.42,OK
40737.sol,reentrancy,0,1,FP,1.38,OK
40741.sol,reentrancy,0,1,FP,1.24,OK
40750.sol,reentrancy,0,1,FP,1.22,OK
40751.sol,reentrancy,0,1,FP,1.24,OK
40752.sol,reentrancy,0,1,FP,1.35,OK
40759.sol,reentrancy,0,1,FP,1.52,OK
40760.sol,reentrancy,0,1,FP,1.63,OK
40763.sol,reentrancy,0,1,FP,1.3,OK
40766.sol,reentrancy,0,0,TN,1.32,OK
40768.sol,reentrancy,0,0,TN,1.26,OK
40771.sol,reentrancy,0,1,FP,1.34,OK
40774.sol,reentrancy,0,1,FP,1.3,OK
40778.sol,reentrancy,0,1,FP,1.39,OK
40782.sol,reentrancy,0,1,FP,1.36,OK
40783.sol,reentrancy,0,1,FP,1.37,OK
40786.sol,reentrancy,0,1,FP,1.28,OK
40788.sol,reentrancy,0,1,FP,1.41,OK
50000.sol,reentrancy,0,1,FP,1.38,OK
50001.sol,reentrancy,0,1,FP,1.34,OK
50007.sol,reentrancy,0,1,FP,1.37,OK
50027.sol,reentrancy,0,0,TN,1.64,OK
50028.sol,reentrancy,0,1,FP,1.37,OK
50029.sol,reentrancy,0,0,TN,1.35,OK
50030.sol,reentrancy,0,1,FP,1.43,OK
50031.sol,reentrancy,0,1,FP,1.36,OK
50032.sol,reentrancy,0,1,FP,1.4,OK
50033.sol,reentrancy,0,1,FP,1.41,OK
50034.sol,reentrancy,0,1,FP,1.35,OK
50035.sol,reentrancy,0,1,FP,1.46,OK
50036.sol,reentrancy,0,1,FP,1.44,OK
18509.sol,reentrancy,1,1,TP,1.68,OK
18510.sol,reentrancy,1,1,TP,1.8,OK
22074.sol,reentrancy,1,0,FN,1.37,OK
22247.sol,reentrancy,1,1,TP,1.51,OK
22416.sol,reentrancy,1,1,TP,1.73,OK
24161.sol,reentrancy,1,1,TP,1.55,OK
26742.sol,reentrancy,1,1,TP,1.4,OK
26743.sol,reentrancy,1,1,TP,1.45,OK
29089.sol,reentrancy,1,1,TP,1.79,OK
37707.sol,reentrancy,1,1,TP,1.7,OK
39019.sol,reentrancy,1,0,FN,1.33,OK
39269.sol,reentrancy,1,0,FN,1.34,OK
39778.sol,reentrancy,1,1,TP,1.23,OK
39866.sol,reentrancy,1,1,TP,1.83,OK
40415.sol,reentrancy,1,1,TP,1.69,OK
40499.sol,reentrancy,1,0,FN,2.15,OK
40732.sol,reentrancy,1,1,TP,1.36,OK
40735.sol,reentrancy,1,1,TP,1.33,OK
40736.sol,reentrancy,1,1,TP,1.33,OK
40742.sol,reentrancy,1,1,TP,2.17,OK
40745.sol,reentrancy,1,1,TP,1.91,OK
40746.sol,reentrancy,1,1,TP,1.37,OK
40747.sol,reentrancy,1,1,TP,1.35,OK
40748.sol,reentrancy,1,0,FN,2.24,OK
40749.sol,reentrancy,1,1,TP,1.56,OK
40753.sol,reentrancy,1,1,TP,1.36,OK
40754.sol,reentrancy,1,1,TP,1.28,OK
40755.sol,reentrancy,1,1,TP,1.27,OK
40756.sol,reentrancy,1,1,TP,1.21,OK
40757.sol,reentrancy,1,1,TP,1.25,OK
40758.sol,reentrancy,1,1,TP,1.68,OK
40761.sol,reentrancy,1,1,TP,1.9,OK
40762.sol,reentrancy,1,1,TP,2.15,OK
40764.sol,reentrancy,1,1,TP,1.87,OK
40765.sol,reentrancy,1,1,TP,1.69,OK
40770.sol,reentrancy,1,1,TP,1.35,OK
40772.sol,reentrancy,1,1,TP,1.31,OK
40775.sol,reentrancy,1,1,TP,1.32,OK
40776.sol,reentrancy,1,1,TP,1.51,OK
40777.sol,reentrancy,1,1,TP,1.8,OK
40779.sol,reentrancy,1,1,TP,1.82,OK
40780.sol,reentrancy,1,1,TP,1.72,OK
40781.sol,reentrancy,1,1,TP,1.44,OK
40784.sol,reentrancy,1,1,TP,1.39,OK
40785.sol,reentrancy,1,1,TP,1.26,OK
40787.sol,reentrancy,1,1,TP,1.31,OK
40789.sol,reentrancy,1,1,TP,1.27,OK
50002.sol,reentrancy,1,1,TP,1.22,OK
50003.sol,reentrancy,1,0,FN,1.95,OK
50005.sol,reentrancy,1,0,FN,2.15,OK
50006.sol,reentrancy,1,1,TP,2.16,OK
50008.sol,reentrancy,1,1,TP,1.79,OK
50009.sol,reentrancy,1,1,TP,1.38,OK
50010.sol,reentrancy,1,1,TP,1.28,OK
50011.sol,reentrancy,1,1,TP,1.52,OK
50013.sol,reentrancy,1,1,TP,1.73,OK
50014.sol,reentrancy,1,1,TP,1.84,OK
50015.sol,reentrancy,1,1,TP,1.67,OK
50016.sol,reentrancy,1,1,TP,1.35,OK
50017.sol,reentrancy,1,1,TP,1.71,OK
50018.sol,reentrancy,1,1,TP,1.87,OK
50019.sol,reentrancy,1,1,TP,1.8,OK
50020.sol,reentrancy,1,1,TP,1.35,OK
50021.sol,reentrancy,1,1,TP,1.32,OK
50022.sol,reentrancy,1,1,TP,1.28,OK
50023.sol,reentrancy,1,1,TP,2.05,OK
50024.sol,reentrancy,1,1,TP,2.04,OK
50025.sol,reentrancy,1,1,TP,2.08,OK
50026.sol,reentrancy,1,1,TP,1.43,OK
1.sol,overflow,0,-1,N/A,1.26,OK
10146.sol,overflow,0,-1,N/A,1.2,OK
10369.sol,overflow,0,-1,N/A,1.22,OK
10971.sol,overflow,0,-1,N/A,1.21,OK
11243.sol,overflow,0,-1,N/A,1.19,OK
11323.sol,overflow,0,-1,N/A,1.16,OK
11931.sol,overflow,0,-1,N/A,1.19,OK
124.sol,overflow,0,-1,N/A,1.33,OK
1246.sol,overflow,0,-1,N/A,1.26,OK
1288.sol,overflow,0,-1,N/A,1.45,OK
1319.sol,overflow,0,-1,N/A,1.5,OK
134.sol,overflow,0,-1,N/A,1.79,OK
135.sol,overflow,0,-1,N/A,1.94,OK
136.sol,overflow,0,-1,N/A,1.42,OK
1430.sol,overflow,0,-1,N/A,1.35,OK
14351.sol,overflow,0,-1,N/A,1.3,OK
14353.sol,overflow,0,-1,N/A,1.43,OK
14381.sol,overflow,0,-1,N/A,1.86,OK
14620.sol,overflow,0,-1,N/A,2.21,OK
15.sol,overflow,0,-1,N/A,1.69,OK
16018.sol,overflow,0,-1,N/A,1.35,OK
1631.sol,overflow,0,-1,N/A,1.27,OK
16521.sol,overflow,0,-1,N/A,1.2,OK
16643.sol,overflow,0,-1,N/A,1.6,OK
1668.sol,overflow,0,-1,N/A,1.99,OK
169.sol,overflow,0,-1,N/A,1.93,OK
16925.sol,overflow,0,-1,N/A,1.47,OK
17043.sol,overflow,0,-1,N/A,1.38,OK
176.sol,overflow,0,-1,N/A,1.38,OK
177.sol,overflow,0,-1,N/A,1.39,OK
17829.sol,overflow,0,-1,N/A,1.39,OK
19128.sol,overflow,0,-1,N/A,1.32,OK
2000.sol,overflow,0,-1,N/A,1.47,OK
2051.sol,overflow,0,-1,N/A,1.39,OK
21393.sol,overflow,0,-1,N/A,1.34,OK
21404.sol,overflow,0,-1,N/A,1.36,OK
21697.sol,overflow,0,-1,N/A,2.13,OK
22247.sol,overflow,0,-1,N/A,2.25,OK
22635.sol,overflow,0,-1,N/A,1.49,OK
2307.sol,overflow,0,-1,N/A,1.3,OK
2397.sol,overflow,0,-1,N/A,1.69,OK
24161.sol,overflow,0,-1,N/A,2.19,OK
26188.sol,overflow,0,-1,N/A,1.95,OK
26742.sol,overflow,0,-1,N/A,1.68,OK
27263.sol,overflow,0,-1,N/A,1.68,OK
29130.sol,overflow,0,-1,N/A,1.6,OK
30101.sol,overflow,0,-1,N/A,1.35,OK
30337.sol,overflow,0,-1,N/A,1.38,OK
30396.sol,overflow,0,-1,N/A,2.11,OK
30813.sol,overflow,0,-1,N/A,2.16,OK
30815.sol,overflow,0,-1,N/A,2.49,OK
31497.sol,overflow,0,-1,N/A,2.62,OK
31759.sol,overflow,0,-1,N/A,2.22,OK
318.sol,overflow,0,-1,N/A,1.46,OK
3185.sol,overflow,0,-1,N/A,1.36,OK
3211.sol,overflow,0,-1,N/A,1.5,OK
32175.sol,overflow,0,-1,N/A,2.2,OK
32522.sol,overflow,0,-1,N/A,2.26,OK
3270.sol,overflow,0,-1,N/A,2.28,OK
339.sol,overflow,0,-1,N/A,1.52,OK
34442.sol,overflow,0,-1,N/A,1.28,OK
35285.sol,overflow,0,-1,N/A,1.81,OK
3554.sol,overflow,0,-1,N/A,2.12,OK
35661.sol,overflow,0,-1,N/A,1.49,OK
35713.sol,overflow,0,-1,N/A,1.26,OK
3654.sol,overflow,0,-1,N/A,1.8,OK
37891.sol,overflow,0,-1,N/A,2.07,OK
38828.sol,overflow,0,-1,N/A,1.47,OK
38876.sol,overflow,0,-1,N/A,1.51,OK
38925.sol,overflow,0,-1,N/A,1.36,OK
39095.sol,overflow,0,-1,N/A,1.33,OK
39151.sol,overflow,0,-1,N/A,1.29,OK
39199.sol,overflow,0,-1,N/A,1.23,OK
39268.sol,overflow,0,-1,N/A,1.56,OK
39341.sol,overflow,0,-1,N/A,2.34,OK
39559.sol,overflow,0,-1,N/A,2.39,OK
39583.sol,overflow,0,-1,N/A,2.17,OK
39644.sol,overflow,0,-1,N/A,2.45,OK
39684.sol,overflow,0,-1,N/A,1.94,OK
39705.sol,overflow,0,-1,N/A,1.49,OK
39817.sol,overflow,0,-1,N/A,1.62,OK
400.sol,overflow,0,-1,N/A,2.5,OK
40089.sol,overflow,0,-1,N/A,1.7,OK
40252.sol,overflow,0,-1,N/A,1.49,OK
40366.sol,overflow,0,-1,N/A,2.22,OK
40413.sol,overflow,0,-1,N/A,2.07,OK
40425.sol,overflow,0,-1,N/A,1.49,OK
40500.sol,overflow,0,-1,N/A,1.41,OK
40732.sol,overflow,0,-1,N/A,2.38,OK
40733.sol,overflow,0,-1,N/A,2.47,OK
40735.sol,overflow,0,-1,N/A,1.65,OK
40749.sol,overflow,0,-1,N/A,1.61,OK
40750.sol,overflow,0,-1,N/A,1.32,OK
40753.sol,overflow,0,-1,N/A,1.37,OK
40760.sol,overflow,0,-1,N/A,1.24,OK
40768.sol,overflow,0,-1,N/A,1.78,OK
44.sol,overflow,0,-1,N/A,1.86,OK
4474.sol,overflow,0,-1,N/A,1.7,OK
4523.sol,overflow,0,-1,N/A,1.89,OK
4598.sol,overflow,0,-1,N/A,1.45,OK
4926.sol,overflow,0,-1,N/A,1.17,OK
496.sol,overflow,0,-1,N/A,1.22,OK
4993.sol,overflow,0,-1,N/A,1.23,OK
50000.sol,overflow,0,-1,N/A,1.33,OK
50001.sol,overflow,0,-1,N/A,1.39,OK
50013.sol,overflow,0,-1,N/A,2.1,OK
50015.sol,overflow,0,-1,N/A,2.02,OK
50021.sol,overflow,0,-1,N/A,1.94,OK
50026.sol,overflow,0,-1,N/A,1.94,OK
50027.sol,overflow,0,-1,N/A,1.3,OK
50030.sol,overflow,0,-1,N/A,1.35,OK
50215.sol,overflow,0,-1,N/A,1.2,OK
50217.sol,overflow,0,-1,N/A,1.26,OK
50221.sol,overflow,0,-1,N/A,1.84,OK
50330.sol,overflow,0,-1,N/A,2.0,OK
50331.sol,overflow,0,-1,N/A,2.11,OK
50336.sol,overflow,0,-1,N/A,1.7,OK
50337.sol,overflow,0,-1,N/A,1.39,OK
50338.sol,overflow,0,-1,N/A,1.43,OK
50339.sol,overflow,0,-1,N/A,1.63,OK
50440.sol,overflow,0,-1,N/A,2.55,OK
50441.sol,overflow,0,-1,N/A,2.47,OK
50442.sol,overflow,0,-1,N/A,2.39,OK
50444.sol,overflow,0,-1,N/A,1.63,OK
50445.sol,overflow,0,-1,N/A,1.56,OK
50446.sol,overflow,0,-1,N/A,1.58,OK
50447.sol,overflow,0,-1,N/A,2.45,OK
50449.sol,overflow,0,-1,N/A,2.32,OK
50550.sol,overflow,0,-1,N/A,2.3,OK
50551.sol,overflow,0,-1,N/A,1.61,OK
50553.sol,overflow,0,-1,N/A,2.1,OK
50554.sol,overflow,0,-1,N/A,1.45,OK
50555.sol,overflow,0,-1,N/A,1.53,OK
50557.sol,overflow,0,-1,N/A,2.05,OK
50558.sol,overflow,0,-1,N/A,1.77,OK
50559.sol,overflow,0,-1,N/A,1.35,OK
50660.sol,overflow,0,-1,N/A,1.34,OK
50661.sol,overflow,0,-1,N/A,1.97,OK
50662.sol,overflow,0,-1,N/A,1.98,OK
50663.sol,overflow,0,-1,N/A,1.51,OK
50664.sol,overflow,0,-1,N/A,1.46,OK
50665.sol,overflow,0,-1,N/A,1.37,OK
50666.sol,overflow,0,-1,N/A,2.05,OK
50668.sol,overflow,0,-1,N/A,1.95,OK
50669.sol,overflow,0,-1,N/A,1.4,OK
50770.sol,overflow,0,-1,N/A,1.34,OK
50771.sol,overflow,0,-1,N/A,1.31,OK
50773.sol,overflow,0,-1,N/A,1.6,OK
50774.sol,overflow,0,-1,N/A,2.12,OK
50775.sol,overflow,0,-1,N/A,2.17,OK
50776.sol,overflow,0,-1,N/A,1.68,OK
50777.sol,overflow,0,-1,N/A,1.57,OK
50778.sol,overflow,0,-1,N/A,1.5,OK
50779.sol,overflow,0,-1,N/A,1.76,OK
50780.sol,overflow,0,-1,N/A,2.32,OK
50781.sol,overflow,0,-1,N/A,2.41,OK
50782.sol,overflow,0,-1,N/A,2.26,OK
50783.sol,overflow,0,-1,N/A,1.74,OK
50784.sol,overflow,0,-1,N/A,1.65,OK
50785.sol,overflow,0,-1,N/A,1.75,OK
50786.sol,overflow,0,-1,N/A,2.47,OK
50787.sol,overflow,0,-1,N/A,2.03,OK
50788.sol,overflow,0,-1,N/A,2.04,OK
50789.sol,overflow,0,-1,N/A,1.55,OK
50791.sol,overflow,0,-1,N/A,1.59,OK
50792.sol,overflow,0,-1,N/A,1.56,OK
50793.sol,overflow,0,-1,N/A,1.41,OK
50794.sol,overflow,0,-1,N/A,1.42,OK
50795.sol,overflow,0,-1,N/A,1.28,OK
50798.sol,overflow,0,-1,N/A,1.99,OK
538.sol,overflow,0,-1,N/A,1.78,OK
5629.sol,overflow,0,-1,N/A,2.03,OK
6192.sol,overflow,0,-1,N/A,1.9,OK
625.sol,overflow,0,-1,N/A,1.82,OK
649.sol,overflow,0,-1,N/A,1.31,OK
650.sol,overflow,0,-1,N/A,1.24,OK
666.sol,overflow,0,-1,N/A,1.21,OK
7330.sol,overflow,0,-1,N/A,1.28,OK
737.sol,overflow,0,-1,N/A,2.07,OK
738.sol,overflow,0,-1,N/A,2.07,OK
740.sol,overflow,0,-1,N/A,1.85,OK
7570.sol,overflow,0,-1,N/A,1.34,OK
797.sol,overflow,0,-1,N/A,1.66,OK
8026.sol,overflow,0,-1,N/A,1.54,OK
8342.sol,overflow,0,-1,N/A,1.28,OK
84.sol,overflow,0,-1,N/A,1.39,OK
883.sol,overflow,0,-1,N/A,2.04,OK
8872.sol,overflow,0,-1,N/A,2.06,OK
9428.sol,overflow,0,-1,N/A,1.63,OK
1115.sol,overflow,1,-1,N/A,1.42,OK
1183.sol,overflow,1,-1,N/A,1.34,OK
12292.sol,overflow,1,-1,N/A,1.7,OK
12321.sol,overflow,1,-1,N/A,1.87,OK
12894.sol,overflow,1,-1,N/A,2.48,OK
12998.sol,overflow,1,-1,N/A,1.75,OK
1313.sol,overflow,1,-1,N/A,1.36,OK
13371.sol,overflow,1,-1,N/A,1.48,OK
14284.sol,overflow,1,-1,N/A,1.71,OK
14711.sol,overflow,1,-1,N/A,2.33,OK
14994.sol,overflow,1,-1,N/A,2.36,OK
1533.sol,overflow,1,-1,N/A,2.12,OK
16957.sol,overflow,1,-1,N/A,1.57,OK
170.sol,overflow,1,-1,N/A,1.21,OK
17401.sol,overflow,1,-1,N/A,1.22,OK
1813.sol,overflow,1,-1,N/A,1.16,OK
1825.sol,overflow,1,-1,N/A,1.18,OK
18509.sol,overflow,1,-1,N/A,1.26,OK
19925.sol,overflow,1,-1,N/A,1.28,OK
2.sol,overflow,1,-1,N/A,1.2,OK
211.sol,overflow,1,-1,N/A,1.34,OK
21162.sol,overflow,1,-1,N/A,1.29,OK
21241.sol,overflow,1,-1,N/A,1.35,OK
22074.sol,overflow,1,-1,N/A,1.23,OK
22416.sol,overflow,1,-1,N/A,1.24,OK
2253.sol,overflow,1,-1,N/A,1.23,OK
23792.sol,overflow,1,-1,N/A,1.22,OK
2399.sol,overflow,1,-1,N/A,1.22,OK
24648.sol,overflow,1,-1,N/A,1.36,OK
2563.sol,overflow,1,-1,N/A,1.2,OK
29089.sol,overflow,1,-1,N/A,1.21,OK
29409.sol,overflow,1,-1,N/A,1.22,OK
3.sol,overflow,1,-1,N/A,1.19,OK
35358.sol,overflow,1,-1,N/A,1.24,OK
3543.sol,overflow,1,-1,N/A,1.18,OK
35806.sol,overflow,1,-1,N/A,1.28,OK
36481.sol,overflow,1,-1,N/A,1.23,OK
3702.sol,overflow,1,-1,N/A,1.16,OK
37707.sol,overflow,1,-1,N/A,1.18,OK
38057.sol,overflow,1,-1,N/A,1.18,OK
39019.sol,overflow,1,-1,N/A,1.21,OK
39778.sol,overflow,1,-1,N/A,1.28,OK
39866.sol,overflow,1,-1,N/A,1.25,OK
4.sol,overflow,1,-1,N/A,1.16,OK
40005.sol,overflow,1,-1,N/A,1.26,OK
40092.sol,overflow,1,-1,N/A,1.18,OK
40249.sol,overflow,1,-1,N/A,1.15,OK
40336.sol,overflow,1,-1,N/A,1.25,OK
40340.sol,overflow,1,-1,N/A,1.27,OK
40353.sol,overflow,1,-1,N/A,1.22,OK
40415.sol,overflow,1,-1,N/A,1.23,OK
40499.sol,overflow,1,-1,N/A,1.22,OK
40736.sol,overflow,1,-1,N/A,1.22,OK
40745.sol,overflow,1,-1,N/A,1.19,OK
40746.sol,overflow,1,-1,N/A,1.19,OK
40747.sol,overflow,1,-1,N/A,1.14,OK
40748.sol,overflow,1,-1,N/A,1.19,OK
40754.sol,overflow,1,-1,N/A,1.17,OK
40756.sol,overflow,1,-1,N/A,1.16,OK
40770.sol,overflow,1,-1,N/A,1.24,OK
40780.sol,overflow,1,-1,N/A,1.22,OK
419.sol,overflow,1,-1,N/A,1.2,OK
42.sol,overflow,1,-1,N/A,1.14,OK
4832.sol,overflow,1,-1,N/A,1.27,OK
5.sol,overflow,1,-1,N/A,1.12,OK
50002.sol,overflow,1,-1,N/A,1.17,OK
50007.sol,overflow,1,-1,N/A,1.21,OK
50010.sol,overflow,1,-1,N/A,1.2,OK
50014.sol,overflow,1,-1,N/A,1.19,OK
50036.sol,overflow,1,-1,N/A,1.14,OK
50062.sol,overflow,1,-1,N/A,1.22,OK
50219.sol,overflow,1,-1,N/A,1.14,OK
50799.sol,overflow,1,-1,N/A,1.16,OK
5142.sol,overflow,1,-1,N/A,1.16,OK
595.sol,overflow,1,-1,N/A,1.27,OK
6272.sol,overflow,1,-1,N/A,1.24,OK
6603.sol,overflow,1,-1,N/A,1.28,OK
6606.sol,overflow,1,-1,N/A,1.24,OK
711.sol,overflow,1,-1,N/A,1.23,OK
7134.sol,overflow,1,-1,N/A,1.2,OK
7593.sol,overflow,1,-1,N/A,2.04,OK
8606.sol,overflow,1,-1,N/A,1.62,OK
9208.sol,overflow,1,-1,N/A,1.17,OK
9230.sol,overflow,1,-1,N/A,1.22,OK
948.sol,overflow,1,-1,N/A,1.25,OK
9850.sol,overflow,1,-1,N/A,1.18,OK
1015.sol,timestamp,0,0,TN,1.29,OK
10233.sol,timestamp,0,0,TN,1.22,OK
10342.sol,timestamp,0,0,TN,1.26,OK
10547.sol,timestamp,0,0,TN,1.23,OK
10855.sol,timestamp,0,0,TN,1.24,OK
11159.sol,timestamp,0,0,TN,1.21,OK
11323.sol,timestamp,0,0,TN,1.21,OK
11330.sol,timestamp,0,0,TN,1.26,OK
11346.sol,timestamp,0,0,TN,1.46,OK
11798.sol,timestamp,0,0,TN,1.7,OK
1181.sol,timestamp,0,0,TN,1.66,OK
11964.sol,timestamp,0,0,TN,1.65,OK
12044.sol,timestamp,0,0,TN,1.59,OK
12115.sol,timestamp,0,0,TN,1.65,OK
124.sol,timestamp,0,0,TN,1.49,OK
1246.sol,timestamp,0,0,TN,1.64,OK
12460.sol,timestamp,0,0,TN,1.45,OK
1256.sol,timestamp,0,0,TN,1.56,OK
12688.sol,timestamp,0,0,TN,1.61,OK
12689.sol,timestamp,0,0,TN,1.5,OK
12715.sol,timestamp,0,0,TN,1.53,OK
12856.sol,timestamp,0,0,TN,1.5,OK
13069.sol,timestamp,0,0,TN,1.57,OK
1313.sol,timestamp,0,0,TN,1.59,OK
13283.sol,timestamp,0,0,TN,1.61,OK
134.sol,timestamp,0,0,TN,1.54,OK
135.sol,timestamp,0,0,TN,1.55,OK
136.sol,timestamp,0,0,TN,1.55,OK
13657.sol,timestamp,0,0,TN,1.5,OK
137.sol,timestamp,0,0,TN,1.49,OK
14351.sol,timestamp,0,0,TN,1.51,OK
14381.sol,timestamp,0,0,TN,1.47,OK
14439.sol,timestamp,0,0,TN,1.5,OK
14634.sol,timestamp,0,0,TN,1.55,OK
14997.sol,timestamp,0,0,TN,1.5,OK
15.sol,timestamp,0,0,TN,1.49,OK
15566.sol,timestamp,0,0,TN,1.5,OK
15671.sol,timestamp,0,0,TN,1.47,OK
15822.sol,timestamp,0,0,TN,1.58,OK
16018.sol,timestamp,0,0,TN,1.57,OK
1631.sol,timestamp,0,0,TN,1.46,OK
