
===== REENTRANCY (Box domain, transformed source) =====
ENTRY 1 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionEntry_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 2 FunctionEntry_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 2 ExpressionStatement_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 2 ExpressionStatement_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 2 IfStatement_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 2 IfStatement_0 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 2 ExpressionStatement_1 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 2 ExpressionStatement_1 [[100.0,100.0], [10.0,10.0], [10.0,10.0]]
ENTRY 2 IfConditionJoin_0 [[100.0,100.0], [10.0,10.0], [10.0,40.0]]
EXIT 2 IfConditionJoin_0 [[100.0,100.0], [10.0,10.0], [10.0,40.0]]
ENTRY 2 FunctionExit_0 [[100.0,100.0], [10.0,10.0], [10.0,40.0]]
EXIT 2 FunctionExit_0 [[100.0,100.0], [10.0,10.0], [10.0,40.0]]
ENTRY 3 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 SourceEntry_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 3 SourceUnit_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 3 SourceUnit_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 3 PragmaDirective_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 3 PragmaDirective_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 3 SourceExit_0 [[100.0,100.0], [10.0,10.0], [10.0,40.0]]
EXIT 3 SourceExit_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 3 ContractDefinition_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 3 ContractDefinition_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 3 VariableDeclaration_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 3 VariableDeclaration_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 3 VariableDeclaration_1 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 3 VariableDeclaration_1 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 3 VariableDeclaration_2 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 3 VariableDeclaration_2 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 3 FunctionDefinition_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 3 FunctionDefinition_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 3 FunctionEntry_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 3 FunctionEntry_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 3 ExpressionStatement_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 3 ExpressionStatement_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 3 IfStatement_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 3 IfStatement_0 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 3 ExpressionStatement_1 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 3 ExpressionStatement_1 [[100.0,100.0], [10.0,10.0], [10.0,10.0]]
ENTRY 3 IfConditionJoin_0 [[100.0,100.0], [10.0,10.0], [10.0,40.0]]
EXIT 3 IfConditionJoin_0 [[100.0,100.0], [10.0,10.0], [10.0,40.0]]
ENTRY 3 FunctionExit_0 [[100.0,100.0], [10.0,10.0], [10.0,40.0]]
EXIT 3 FunctionExit_0 [[100.0,100.0], [10.0,10.0], [10.0,40.0]]
ENTRY 4 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 4 SourceEntry_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 4 SourceUnit_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 4 SourceUnit_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 4 PragmaDirective_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 4 PragmaDirective_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 4 SourceExit_0 [[100.0,100.0], [10.0,10.0], [10.0,40.0]]
EXIT 4 SourceExit_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 4 ContractDefinition_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 4 ContractDefinition_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 4 VariableDeclaration_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 4 VariableDeclaration_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 4 VariableDeclaration_1 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 4 VariableDeclaration_1 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 4 VariableDeclaration_2 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 4 VariableDeclaration_2 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 4 FunctionDefinition_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 4 FunctionDefinition_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 4 FunctionEntry_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 4 FunctionEntry_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 4 ExpressionStatement_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 4 ExpressionStatement_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
ENTRY 4 IfStatement_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 4 IfStatement_0 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 4 ExpressionStatement_1 [[100.0,100.0], [10.0,10.0], [40.0,40.0]]
EXIT 4 ExpressionStatement_1 [[100.0,100.0], [10.0,10.0], [10.0,10.0]]
ENTRY 4 IfConditionJoin_0 [[100.0,100.0], [10.0,10.0], [10.0,40.0]]
EXIT 4 IfConditionJoin_0 [[100.0,100.0], [10.0,10.0], [10.0,40.0]]
ENTRY 4 FunctionExit_0 [[100.0,100.0], [10.0,10.0], [10.0,40.0]]
EXIT 4 FunctionExit_0 [[100.0,100.0], [10.0,10.0], [10.0,40.0]]

===== OVERFLOW / UNDERFLOW (Box domain, original source) =====
