
===== OVERFLOW / UNDERFLOW (Box domain, original source) =====
ENTRY 1 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionExit_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionExit_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclarationStatement_1 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclarationStatement_1 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ForLoopContinue_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 ForLoopContinue_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ForStatement_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 ForStatement_0 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 1 ForLoopJoin_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 ForLoopJoin_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionExit_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionExit_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_4 [[-Infinity,Infinity], [0.0,0.0], [1.0,1.0]]
ENTRY 2 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 SourceUnit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 SourceUnit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 PragmaDirective_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 PragmaDirective_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 SourceExit_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
EXIT 2 SourceExit_0 [[0.0,0.0], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 2 ContractDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 ContractDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionEntry_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionEntry_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 ContractDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 ContractDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 VariableDeclaration_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 VariableDeclaration_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionDefinition_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionDefinition_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionEntry_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionEntry_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 ExpressionStatement_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 ExpressionStatement_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionExit_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionExit_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionDefinition_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionDefinition_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionEntry_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionEntry_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 2 VariableDeclarationStatement_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 2 VariableDeclarationStatement_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 2 ExpressionStatement_1 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
EXIT 2 ExpressionStatement_1 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 2 FunctionExit_3 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
EXIT 2 FunctionExit_3 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 2 FunctionDefinition_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionDefinition_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionEntry_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionEntry_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 2 ExpressionStatement_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 2 ExpressionStatement_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionExit_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionExit_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionDefinition_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionDefinition_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionEntry_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionEntry_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 2 VariableDeclarationStatement_1 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 2 VariableDeclarationStatement_1 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 2 ForLoopContinue_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
EXIT 2 ForLoopContinue_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
ENTRY 2 ForStatement_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
EXIT 2 ForStatement_0 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 2 ForLoopJoin_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
EXIT 2 ForLoopJoin_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
ENTRY 2 FunctionExit_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
EXIT 2 FunctionExit_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
ENTRY 2 ExpressionStatement_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
EXIT 2 ExpressionStatement_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
ENTRY 2 ExpressionStatement_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
EXIT 2 ExpressionStatement_4 [[-Infinity,Infinity], [0.0,0.0], [1.0,Infinity]]
ENTRY 3 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 SourceUnit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 SourceUnit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 PragmaDirective_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 PragmaDirective_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 SourceExit_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,Infinity]]
EXIT 3 SourceExit_0 [[0.0,0.0], [-Infinity,Infinity], [0.0,Infinity]]
ENTRY 3 ContractDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 ContractDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionEntry_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionEntry_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 ContractDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 ContractDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 VariableDeclaration_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 VariableDeclaration_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionDefinition_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionDefinition_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionEntry_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionEntry_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 ExpressionStatement_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 ExpressionStatement_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionExit_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionExit_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionDefinition_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionDefinition_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionEntry_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionEntry_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 3 VariableDeclarationStatement_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 3 VariableDeclarationStatement_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 3 ExpressionStatement_1 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
EXIT 3 ExpressionStatement_1 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 3 FunctionExit_3 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
EXIT 3 FunctionExit_3 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 3 FunctionDefinition_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionDefinition_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionEntry_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionEntry_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 3 ExpressionStatement_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 3 ExpressionStatement_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionExit_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionExit_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionDefinition_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionDefinition_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionEntry_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionEntry_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 3 VariableDeclarationStatement_1 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 3 VariableDeclarationStatement_1 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 3 ForLoopContinue_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
EXIT 3 ForLoopContinue_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
ENTRY 3 ForStatement_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
EXIT 3 ForStatement_0 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 3 ForLoopJoin_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
EXIT 3 ForLoopJoin_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
ENTRY 3 FunctionExit_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
EXIT 3 FunctionExit_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
ENTRY 3 ExpressionStatement_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
EXIT 3 ExpressionStatement_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
ENTRY 3 ExpressionStatement_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
EXIT 3 ExpressionStatement_4 [[-Infinity,Infinity], [0.0,0.0], [1.0,Infinity]]
ENTRY 4 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 4 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 4 SourceUnit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 4 SourceUnit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 4 PragmaDirective_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 4 PragmaDirective_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 4 SourceExit_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,Infinity]]
EXIT 4 SourceExit_0 [[0.0,0.0], [-Infinity,Infinity], [0.0,Infinity]]
ENTRY 4 ContractDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 4 ContractDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 4 FunctionDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 4 FunctionDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 4 FunctionEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 4 FunctionEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 4 FunctionDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 4 FunctionDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 4 FunctionEntry_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 4 FunctionEntry_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 4 ContractDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 4 ContractDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 4 VariableDeclaration_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 4 VariableDeclaration_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 4 FunctionDefinition_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 4 FunctionDefinition_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 4 FunctionEntry_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 4 FunctionEntry_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 4 ExpressionStatement_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 4 ExpressionStatement_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 4 FunctionExit_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 4 FunctionExit_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 4 FunctionDefinition_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 4 FunctionDefinition_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 4 FunctionEntry_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 4 FunctionEntry_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 4 VariableDeclarationStatement_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 4 VariableDeclarationStatement_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 4 ExpressionStatement_1 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
EXIT 4 ExpressionStatement_1 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 4 FunctionExit_3 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
EXIT 4 FunctionExit_3 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 4 FunctionDefinition_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 4 FunctionDefinition_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 4 FunctionEntry_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 4 FunctionEntry_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 4 ExpressionStatement_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 4 ExpressionStatement_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 4 FunctionExit_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 4 FunctionExit_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 4 FunctionDefinition_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 4 FunctionDefinition_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 4 FunctionEntry_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 4 FunctionEntry_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 4 VariableDeclarationStatement_1 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 4 VariableDeclarationStatement_1 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 4 ForLoopContinue_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
EXIT 4 ForLoopContinue_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
ENTRY 4 ForStatement_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
EXIT 4 ForStatement_0 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 4 ForLoopJoin_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
EXIT 4 ForLoopJoin_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
ENTRY 4 FunctionExit_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
EXIT 4 FunctionExit_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
ENTRY 4 ExpressionStatement_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
EXIT 4 ExpressionStatement_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
ENTRY 4 ExpressionStatement_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,Infinity]]
EXIT 4 ExpressionStatement_4 [[-Infinity,Infinity], [0.0,0.0], [1.0,Infinity]]
