
===== OVERFLOW / UNDERFLOW (Box domain, original source) =====
ENTRY 1 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 Return_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 IfConditionJoin_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 IfConditionJoin_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 IfStatement_1 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 IfStatement_1 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 1 ExpressionStatement_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclarationStatement_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclarationStatement_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 IfStatement_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 IfStatement_2 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 1 ExpressionStatement_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 IfConditionJoin_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 IfConditionJoin_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_5 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 IfConditionJoin_1 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 IfConditionJoin_1 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 IfStatement_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 IfStatement_3 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 1 ExpressionStatement_6 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_6 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 IfConditionJoin_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 IfConditionJoin_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionExit_1 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionExit_1 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_7 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_7 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-8.0,8.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionExit_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-8.0,8.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionExit_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-8.0,8.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_8 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_8 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_9 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_9 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionExit_3 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionExit_3 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
