
===== REENTRANCY (Box domain, transformed source) =====
ENTRY 1 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_6 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
ENTRY 1 IfConditionJoin_1 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 IfConditionJoin_1 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
ENTRY 1 FunctionExit_5 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 FunctionExit_5 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
ENTRY 1 FunctionDefinition_6 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 FunctionDefinition_6 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
ENTRY 1 FunctionEntry_6 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 FunctionEntry_6 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
ENTRY 1 IfStatement_2 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 IfStatement_2 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 1 ExpressionStatement_7 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 ExpressionStatement_7 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_8 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_8 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
ENTRY 1 IfConditionJoin_2 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 IfConditionJoin_2 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
ENTRY 1 FunctionExit_6 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 FunctionExit_6 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
ENTRY 1 FunctionDefinition_7 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 FunctionDefinition_7 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
ENTRY 1 FunctionEntry_7 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 FunctionEntry_7 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
ENTRY 1 IfStatement_3 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 IfStatement_3 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 1 IfStatement_4 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 IfStatement_4 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 1 ExpressionStatement_9 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 ExpressionStatement_9 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
ENTRY 1 ExpressionStatement_10 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 ExpressionStatement_10 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [40.0,40.0]]
ENTRY 1 IfConditionJoin_4 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 IfConditionJoin_4 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
ENTRY 1 IfConditionJoin_3 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 IfConditionJoin_3 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
ENTRY 1 FunctionExit_7 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 FunctionExit_7 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
ENTRY 1 FunctionDefinition_8 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 FunctionDefinition_8 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
ENTRY 1 FunctionEntry_8 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 FunctionEntry_8 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
ENTRY 1 Return_0 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 Return_0 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
ENTRY 1 FunctionExit_8 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
EXIT 1 FunctionExit_8 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [-Infinity,Infinity]]
ENTRY 2 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 SourceEntry_0 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 SourceUnit_0 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 SourceUnit_0 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 PragmaDirective_0 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 PragmaDirective_0 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 SourceExit_0 [[0.0,100.0], [0.0,10.0], [0.0,10.0], [-Infinity,Infinity], [0.0,1.0], [-Infinity,Infinity]]
EXIT 2 SourceExit_0 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 ContractDefinition_0 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 ContractDefinition_0 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 VariableDeclaration_0 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 VariableDeclaration_0 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 VariableDeclaration_1 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 VariableDeclaration_1 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 VariableDeclaration_2 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 VariableDeclaration_2 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 VariableDeclaration_3 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 VariableDeclaration_3 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 FunctionDefinition_0 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 FunctionDefinition_0 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 FunctionEntry_0 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 FunctionEntry_0 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 ExpressionStatement_0 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 ExpressionStatement_0 [[100.0,100.0], [10.0,10.0], [10.0,10.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 FunctionExit_0 [[100.0,100.0], [10.0,10.0], [10.0,10.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 FunctionExit_0 [[100.0,100.0], [10.0,10.0], [10.0,10.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 FunctionDefinition_1 [[100.0,100.0], [10.0,10.0], [10.0,10.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 FunctionDefinition_1 [[100.0,100.0], [10.0,10.0], [10.0,10.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 FunctionEntry_1 [[100.0,100.0], [10.0,10.0], [10.0,10.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 FunctionEntry_1 [[100.0,100.0], [10.0,10.0], [10.0,10.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 IfStatement_0 [[100.0,100.0], [10.0,10.0], [10.0,10.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 IfStatement_0 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 2 ExpressionStatement_1 [[100.0,100.0], [10.0,10.0], [10.0,10.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 ExpressionStatement_1 [[100.0,100.0], [10.0,10.0], [10.0,10.0], [10.0,10.0], [0.0,0.0], [40.0,40.0]]
ENTRY 2 IfConditionJoin_0 [[100.0,100.0], [10.0,10.0], [10.0,10.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 IfConditionJoin_0 [[100.0,100.0], [10.0,10.0], [10.0,10.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 FunctionExit_1 [[100.0,100.0], [10.0,10.0], [10.0,10.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 FunctionExit_1 [[100.0,100.0], [10.0,10.0], [10.0,10.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 ModifierDefinition_0 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 ModifierDefinition_0 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 ContractDefinition_1 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
EXIT 2 ContractDefinition_1 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 2 VariableDeclaration_4 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
