filename,reentrancy,status,duration_s,solc_version
37474.sol,0,OK,0.31,0.4.26
37499.sol,0,OK,0.36,0.4.26
37645.sol,1,OK,0.29,0.4.26
37646.sol,1,OK,0.45,0.4.26
37676.sol,0,OK,0.37,0.4.26
37708.sol,1,OK,0.32,0.4.26
37836.sol,1,OK,0.28,0.4.26
37891.sol,1,OK,0.38,0.4.26
38057.sol,1,OK,0.34,0.4.26
38250.sol,1,OK,0.39,0.4.26
38420.sol,1,OK,0.34,0.4.26
38543.sol,0,OK,0.3,0.4.26
38651.sol,1,OK,0.33,0.4.26
38828.sol,1,OK,0.4,0.4.26
38876.sol,1,OK,0.34,0.4.26
38888.sol,1,OK,0.37,0.4.26
39032.sol,0,OK,0.32,0.4.26
39151.sol,0,OK,0.33,0.4.26
39199.sol,0,OK,0.3,0.4.26
39248.sol,0,OK,0.29,0.4.26
39268.sol,1,OK,0.39,0.4.26
39327.sol,1,OK,0.49,0.4.26
39341.sol,0,OK,0.33,0.4.26
39644.sol,1,OK,0.27,0.4.26
39664.sol,1,OK,0.31,0.4.26
39684.sol,0,OK,0.27,0.4.26
39705.sol,1,OK,0.35,0.4.26
39749.sol,0,OK,0.41,0.4.26
39750.sol,0,OK,0.27,0.4.26
39777.sol,1,OK,0.31,0.4.26
39817.sol,0,OK,0.3,0.4.26
39867.sol,1,OK,0.32,0.4.26
39912.sol,1,OK,0.35,0.4.26
39934.sol,1,OK,0.36,0.4.26
4.sol,0,OK,0.32,0.4.26
40089.sol,1,OK,0.44,0.4.26
40090.sol,0,OK,0.4,0.4.26
40092.sol,1,OK,0.47,0.4.26
40203.sol,0,OK,0.46,0.4.26
40242.sol,0,OK,0.48,0.4.26
40249.sol,1,OK,0.45,0.4.26
40299.sol,0,OK,0.4,0.4.26
40336.sol,1,OK,0.37,0.4.26
40340.sol,1,OK,0.33,0.4.26
40342.sol,1,OK,0.34,0.4.26
40353.sol,1,OK,0.41,0.4.26
40357.sol,0,OK,0.24,0.4.26
40366.sol,0,OK,0.28,0.4.26
40413.sol,0,OK,0.26,0.4.26
40425.sol,1,OK,0.35,0.4.26
40500.sol,0,OK,0.35,0.4.26
40720.sol,0,OK,0.37,0.4.26
40733.sol,1,OK,0.32,0.4.26
40734.sol,1,OK,0.38,0.4.26
40737.sol,1,OK,0.37,0.4.26
40741.sol,1,OK,0.31,0.4.26
40750.sol,1,OK,0.41,0.4.26
40751.sol,1,OK,0.29,0.4.26
40752.sol,1,OK,0.37,0.4.26
40759.sol,1,OK,0.32,0.4.26
40760.sol,1,OK,0.4,0.4.26
40763.sol,1,OK,0.44,0.4.26
40766.sol,0,OK,0.27,0.4.26
40768.sol,0,OK,0.33,0.4.26
40771.sol,1,OK,0.35,0.4.26
40774.sol,0,OK,0.31,0.4.26
40778.sol,1,OK,0.43,0.4.26
40782.sol,1,OK,0.39,0.4.26
40783.sol,1,OK,0.3,0.4.26
40786.sol,1,OK,0.29,0.4.26
40788.sol,1,OK,0.31,0.4.26
50000.sol,0,OK,0.24,0.4.26
50001.sol,0,OK,0.34,0.4.26
50007.sol,1,OK,0.44,0.4.26
50025.sol,0,OK,0.24,0.4.26
50026.sol,1,OK,0.27,0.4.26
50027.sol,0,OK,0.27,0.4.26
50028.sol,1,OK,0.31,0.4.26
50029.sol,0,OK,0.33,0.4.26
50030.sol,1,OK,0.43,0.4.26
50031.sol,1,OK,0.4,0.4.26
50032.sol,1,OK,0.29,0.4.26
50033.sol,1,OK,0.29,0.4.26
50034.sol,0,OK,0.27,0.4.26
50035.sol,1,OK,0.39,0.4.26
50036.sol,1,OK,0.39,0.4.26
18509.sol,1,OK,0.7,0.4.26
22074.sol,0,OK,0.56,0.4.26
22247.sol,1,OK,0.51,0.4.26
22416.sol,1,OK,0.36,0.4.26
24161.sol,1,OK,0.39,0.4.26
26523.sol,1,OK,0.46,0.4.26
26742.sol,1,OK,0.38,0.4.26
29089.sol,1,OK,0.31,0.4.26
37707.sol,1,OK,0.27,0.4.26
39019.sol,1,OK,0.27,0.4.26
39269.sol,1,OK,0.32,0.4.26
39778.sol,1,OK,0.34,0.4.26
39866.sol,1,OK,0.39,0.4.26
40415.sol,1,OK,0.3,0.4.26
40499.sol,1,OK,0.34,0.4.26
40732.sol,1,OK,0.31,0.4.26
40735.sol,1,OK,0.38,0.4.26
40736.sol,1,OK,0.41,0.4.26
40742.sol,1,OK,0.27,0.4.26
40745.sol,1,OK,0.3,0.4.26
40746.sol,1,OK,0.32,0.4.26
40747.sol,1,OK,0.38,0.4.26
40748.sol,1,OK,0.31,0.4.26
40749.sol,1,OK,0.36,0.4.26
40753.sol,1,OK,0.46,0.4.26
40754.sol,1,OK,0.29,0.4.26
40755.sol,1,OK,0.34,0.4.26
40756.sol,1,OK,0.3,0.4.26
40757.sol,1,OK,0.34,0.4.26
40758.sol,1,OK,0.34,0.4.26
40761.sol,1,OK,0.44,0.4.26
40762.sol,1,OK,0.39,0.4.26
40764.sol,1,OK,0.26,0.4.26
40765.sol,1,OK,0.27,0.4.26
40770.sol,1,OK,0.36,0.4.26
40772.sol,1,OK,0.34,0.4.26
40775.sol,1,OK,0.41,0.4.26
40776.sol,1,OK,0.25,0.4.26
40777.sol,1,OK,0.24,0.4.26
40779.sol,1,OK,0.27,0.4.26
40780.sol,1,OK,0.28,0.4.26
40781.sol,1,OK,0.33,0.4.26
40784.sol,1,OK,0.39,0.4.26
40785.sol,1,OK,0.26,0.4.26
40787.sol,1,OK,0.27,0.4.26
40789.sol,1,OK,0.26,0.4.26
50002.sol,1,OK,0.28,0.4.26
50003.sol,1,OK,0.29,0.4.26
50005.sol,1,OK,0.4,0.4.26
50006.sol,1,OK,0.36,0.4.26
50008.sol,1,OK,0.3,0.4.26
50009.sol,1,OK,0.32,0.4.26
50010.sol,0,OK,0.26,0.4.26
50011.sol,1,OK,0.35,0.4.26
50012.sol,0,OK,0.33,0.4.26
50013.sol,1,OK,0.37,0.4.26
50014.sol,1,OK,0.39,0.4.26
50015.sol,1,OK,0.39,0.4.26
50016.sol,1,OK,0.36,0.4.26
50017.sol,1,OK,0.39,0.4.26
50018.sol,1,OK,0.39,0.4.26
50019.sol,1,OK,0.6,0.4.26
50020.sol,1,OK,0.46,0.4.26
50021.sol,1,OK,0.47,0.4.26
50022.sol,1,OK,0.41,0.4.26
50023.sol,0,OK,0.39,0.4.26
50024.sol,1,OK,0.31,0.4.26
