
===== OVERFLOW / UNDERFLOW (Box domain, original source) =====
ENTRY 1 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionDefinition_4 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionEntry_4 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionEntry_4 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionDefinition_5 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionDefinition_5 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionEntry_5 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionEntry_5 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 EventDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 EventDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 EventDefinition_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 EventDefinition_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 ContractDefinition_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 ContractDefinition_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 VariableDeclaration_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 VariableDeclaration_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 VariableDeclaration_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 VariableDeclaration_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 VariableDeclaration_2 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 VariableDeclaration_2 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 ModifierDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 ModifierDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionDefinition_6 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionDefinition_6 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionEntry_6 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionEntry_6 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 ExpressionStatement_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 ExpressionStatement_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 VariableDeclarationStatement_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 VariableDeclarationStatement_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 2 ExpressionStatement_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 2 ExpressionStatement_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 2 ExpressionStatement_2 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
EXIT 2 ExpressionStatement_2 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 2 FunctionExit_6 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
EXIT 2 FunctionExit_6 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 3 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 SourceEntry_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 SourceUnit_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 SourceUnit_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 PragmaDirective_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 PragmaDirective_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 SourceExit_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
EXIT 3 SourceExit_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 3 ContractDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 ContractDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionEntry_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionEntry_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionDefinition_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionDefinition_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionEntry_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionEntry_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionDefinition_2 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionDefinition_2 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionEntry_2 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionEntry_2 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionDefinition_3 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionDefinition_3 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionEntry_3 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionEntry_3 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionDefinition_4 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionDefinition_4 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionEntry_4 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionEntry_4 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionDefinition_5 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionDefinition_5 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionEntry_5 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionEntry_5 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 EventDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 EventDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 EventDefinition_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 EventDefinition_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 ContractDefinition_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 ContractDefinition_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 VariableDeclaration_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 VariableDeclaration_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 VariableDeclaration_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 VariableDeclaration_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 VariableDeclaration_2 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 VariableDeclaration_2 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
