
===== OVERFLOW / UNDERFLOW (Box domain, original source) =====
ENTRY 1 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 PragmaDirective_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 SourceExit_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 SourceExit_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 ContractDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 ContractDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 FunctionDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 FunctionDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 FunctionEntry_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 FunctionEntry_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 FunctionDefinition_1 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 FunctionDefinition_1 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 FunctionEntry_1 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 FunctionEntry_1 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 FunctionDefinition_2 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 FunctionDefinition_2 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 FunctionEntry_2 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 FunctionEntry_2 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 ContractDefinition_1 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 ContractDefinition_1 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 FunctionDefinition_3 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 FunctionDefinition_3 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 FunctionEntry_3 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 FunctionEntry_3 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 ContractDefinition_2 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 ContractDefinition_2 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 FunctionDefinition_4 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 FunctionDefinition_4 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 FunctionEntry_4 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 FunctionEntry_4 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 ContractDefinition_3 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 ContractDefinition_3 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 VariableDeclaration_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 VariableDeclaration_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 VariableDeclaration_1 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 VariableDeclaration_1 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 FunctionDefinition_5 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 FunctionDefinition_5 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 FunctionEntry_5 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 FunctionEntry_5 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 ExpressionStatement_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 ExpressionStatement_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
ENTRY 2 FunctionExit_5 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity]]
