
===== REENTRANCY (Box domain, transformed source) =====
ENTRY 1 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 SourceUnit_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
ENTRY 2 PragmaDirective_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
EXIT 2 PragmaDirective_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
ENTRY 2 SourceExit_0 [[0.0,100.0], [0.0,10.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 2 SourceExit_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [-Infinity,Infinity]]
ENTRY 2 ContractDefinition_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
EXIT 2 ContractDefinition_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
ENTRY 2 VariableDeclaration_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
EXIT 2 VariableDeclaration_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
ENTRY 2 VariableDeclaration_1 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
EXIT 2 VariableDeclaration_1 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
ENTRY 2 VariableDeclaration_2 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
EXIT 2 VariableDeclaration_2 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
ENTRY 2 FunctionDefinition_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
EXIT 2 FunctionDefinition_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
ENTRY 2 FunctionEntry_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
EXIT 2 FunctionEntry_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
ENTRY 2 VariableDeclarationStatement_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
EXIT 2 VariableDeclarationStatement_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [-Infinity,Infinity]]
ENTRY 2 IfStatement_0 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
EXIT 2 IfStatement_0 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 2 ExpressionStatement_0 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
EXIT 2 ExpressionStatement_0 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
ENTRY 2 ExpressionStatement_1 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
EXIT 2 ExpressionStatement_1 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
ENTRY 2 ExpressionStatement_2 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
EXIT 2 ExpressionStatement_2 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
ENTRY 2 ExpressionStatement_3 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
EXIT 2 ExpressionStatement_3 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
ENTRY 2 IfConditionJoin_0 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
EXIT 2 IfConditionJoin_0 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
ENTRY 2 FunctionExit_0 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
EXIT 2 FunctionExit_0 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
ENTRY 2 FunctionDefinition_1 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [0.0,0.0]]
EXIT 2 FunctionDefinition_1 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [0.0,0.0]]
ENTRY 2 FunctionEntry_1 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [0.0,0.0]]
EXIT 2 FunctionEntry_1 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [0.0,0.0]]
ENTRY 2 ExpressionStatement_4 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [0.0,0.0]]
EXIT 2 ExpressionStatement_4 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [0.0,0.0]]
ENTRY 2 ExpressionStatement_5 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [0.0,0.0]]
EXIT 2 ExpressionStatement_5 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [0.0,0.0]]
ENTRY 2 ExpressionStatement_6 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [0.0,0.0]]
EXIT 2 ExpressionStatement_6 [[0.0,100.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionExit_1 [[0.0,100.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionExit_1 [[0.0,100.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionDefinition_2 [[0.0,100.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionDefinition_2 [[0.0,100.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionEntry_2 [[0.0,100.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionEntry_2 [[0.0,100.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 ExpressionStatement_7 [[0.0,100.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 ExpressionStatement_7 [[0.0,100.0], [0.0,10.0], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 2 FunctionExit_2 [[0.0,100.0], [0.0,10.0], [-Infinity,Infinity], [0.0,0.0]]
EXIT 2 FunctionExit_2 [[0.0,100.0], [0.0,10.0], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 3 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 SourceEntry_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
ENTRY 3 SourceUnit_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
EXIT 3 SourceUnit_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
ENTRY 3 PragmaDirective_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
EXIT 3 PragmaDirective_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
ENTRY 3 SourceExit_0 [[0.0,100.0], [0.0,10.0], [-Infinity,Infinity], [-Infinity,Infinity]]
EXIT 3 SourceExit_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [-Infinity,Infinity]]
ENTRY 3 ContractDefinition_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
EXIT 3 ContractDefinition_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
ENTRY 3 VariableDeclaration_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
EXIT 3 VariableDeclaration_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
ENTRY 3 VariableDeclaration_1 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
EXIT 3 VariableDeclaration_1 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
ENTRY 3 VariableDeclaration_2 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
EXIT 3 VariableDeclaration_2 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
ENTRY 3 FunctionDefinition_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
EXIT 3 FunctionDefinition_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
ENTRY 3 FunctionEntry_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
EXIT 3 FunctionEntry_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
ENTRY 3 VariableDeclarationStatement_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [0.0,0.0]]
EXIT 3 VariableDeclarationStatement_0 [[100.0,100.0], [10.0,10.0], [40.0,40.0], [-Infinity,Infinity]]
ENTRY 3 IfStatement_0 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
EXIT 3 IfStatement_0 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 3 ExpressionStatement_0 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
EXIT 3 ExpressionStatement_0 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
ENTRY 3 ExpressionStatement_1 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
EXIT 3 ExpressionStatement_1 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
ENTRY 3 ExpressionStatement_2 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
EXIT 3 ExpressionStatement_2 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
ENTRY 3 ExpressionStatement_3 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
EXIT 3 ExpressionStatement_3 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
ENTRY 3 IfConditionJoin_0 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
EXIT 3 IfConditionJoin_0 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
ENTRY 3 FunctionExit_0 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
EXIT 3 FunctionExit_0 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [-Infinity,Infinity]]
ENTRY 3 FunctionDefinition_1 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [0.0,0.0]]
EXIT 3 FunctionDefinition_1 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [0.0,0.0]]
ENTRY 3 FunctionEntry_1 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [0.0,0.0]]
EXIT 3 FunctionEntry_1 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [0.0,0.0]]
ENTRY 3 ExpressionStatement_4 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [0.0,0.0]]
EXIT 3 ExpressionStatement_4 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [0.0,0.0]]
ENTRY 3 ExpressionStatement_5 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [0.0,0.0]]
EXIT 3 ExpressionStatement_5 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [0.0,0.0]]
ENTRY 3 ExpressionStatement_6 [[0.0,100.0], [0.0,10.0], [0.0,40.0], [0.0,0.0]]
EXIT 3 ExpressionStatement_6 [[0.0,100.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionExit_1 [[0.0,100.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionExit_1 [[0.0,100.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionDefinition_2 [[0.0,100.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionDefinition_2 [[0.0,100.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 FunctionEntry_2 [[0.0,100.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 FunctionEntry_2 [[0.0,100.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
ENTRY 3 ExpressionStatement_7 [[0.0,100.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
EXIT 3 ExpressionStatement_7 [[0.0,100.0], [0.0,10.0], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 3 FunctionExit_2 [[0.0,100.0], [0.0,10.0], [-Infinity,Infinity], [0.0,0.0]]
EXIT 3 FunctionExit_2 [[0.0,100.0], [0.0,10.0], [-Infinity,Infinity], [0.0,0.0]]

===== OVERFLOW / UNDERFLOW (Box domain, original source) =====
ENTRY 1 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 SourceUnit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 SourceUnit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 PragmaDirective_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 PragmaDirective_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 SourceExit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 SourceExit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ContractDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ContractDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclarationStatement_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclarationStatement_0 [[0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_0 [[0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_0 [[0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionExit_0 [[0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionExit_0 [[0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_3 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_3 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionExit_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionExit_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_4 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_4 [[0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionExit_2 [[0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionExit_2 [[0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 2 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 SourceEntry_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 SourceUnit_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 SourceUnit_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 PragmaDirective_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 PragmaDirective_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 SourceExit_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 2 SourceExit_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 2 ContractDefinition_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 ContractDefinition_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 VariableDeclaration_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 VariableDeclaration_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionDefinition_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionDefinition_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionEntry_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionEntry_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 VariableDeclarationStatement_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 VariableDeclarationStatement_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 ExpressionStatement_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
